roc_auc_valid,roc_auc_test,pr_auc_valid,pr_auc_test
0.8143068469991547,0.8699232360627176,0.4939636203415772,0.7316802900131687
0.7967125936669084,0.915088383838384,0.4578493193603348,0.7215429274280389
0.8086271904070217,0.7981070723493207,0.5439463197409452,0.3951088107667918
0.6819103313840156,0.6732695810564664,0.2616220524443847,0.22943825426743925
0.701982480405717,0.6688737240952676,0.41496453035749736,0.38977470795575503
0.777321715202935,0.8029756127153604,0.30685729823240554,0.41900097425495564
0.715569153069153,0.5902091995841996,0.1478705380067695,0.0853485271805979
0.6322229649435532,0.6843302224736048,0.36975809699742584,0.37986352317886946
0.7199714402284781,0.7649274069669492,0.1861897940415247,0.18395574661867892
0.6803382130237254,0.7382823135866817,0.17598477042349994,0.3082021744992196
0.8268288474810215,0.8044127812339733,0.6176247225407212,0.49120962085390735
0.7066224079993444,0.7678660203827989,0.3218968650616857,0.31086922437180686
