ROC-AUC (random),ROC-AUC (scaffold),PR-AUC (random),PR-AUC (scaffold)
0.8037405303030303,0.8699232360627176,0.510905878966247,0.7316802900131687
0.9193634969325154,0.915088383838384,0.7410207796855002,0.7215429274280389
0.882943143812709,0.7981070723493207,0.5413794242741108,0.3951088107667918
0.8188932980599648,0.6732695810564664,0.517297679256265,0.22943825426743925
0.6981120232984358,0.6688737240952676,0.3297310411655975,0.38977470795575503
0.8141100702576113,0.8029756127153604,0.4822084887224805,0.41900097425495564
0.672120014816644,0.5902091995841996,0.14989995389800248,0.0853485271805979
0.7834259441384737,0.6843302224736048,0.4815976850620475,0.37986352317886946
0.8312049062049063,0.7649274069669492,0.2744753985265972,0.18395574661867892
0.7124330755502677,0.7382823135866817,0.2468146451110127,0.3082021744992196
0.8742711451058641,0.8044127812339733,0.6382283994160806,0.49120962085390735
0.7922969887255601,0.7678660203827989,0.34054884767401344,0.31086922437180686
